tier,institution,office,why_and_hook,page_url,public_office_contact,status,verified_on,ref
1,San Francisco State University,Fellowships Office,Mitchell Scholarship page presents it as open ('submitted to the Fellowships Office by Noon on May 25 annually'). Mitchell has been paused since March 2024.,https://fellowships.sfsu.edu/mitchell-scholarship,fellows1@sfsu.edu,verified: page checked,2026-09-15,sfsu-fellowships
1,Temple University,Scholar Development and Fellowships Advising,"Correctly marks Payne terminated, but lists Pickering and Rangel as open with a mid-September deadline. Both 2026 cycles are postponed. Lead with that, and credit them for already updating Payne.",https://undergraduate.temple.edu/fellowships-advising/find-fellowship/payne-pickering-and-rangel-fellowships,(address is obfuscated on the page; use the office contact form),verified: page checked,2026-09-15,temple-sdfa
1,University of Maryland,National Scholarships Office,"Payne Fellowship page presents it as open, national deadline shown Oct 24, 2024. Payne was terminated 27 Feb 2025.",https://scholarships.umd.edu/payne,scholarships@umd.edu,verified: page checked,2026-09-15,umd-nso
1,University of Miami,Office of Prestigious Awards and Fellowships,"Payne page presents it as open ('Deadline: November, 2023', 'Apply directly through the Payne website'). Their Mitchell page already notes the pause.",https://oae.miami.edu/prestigious-awards-and-fellowships/search-scholarship-listings/payne.html,prestigiousawards@miami.edu,verified: page checked,2026-09-15,miami-opaf
1,University of Missouri,Office of Global and National Fellowships,Payne page presents it as active and still references graduate entry in fall 2015.,https://fellowships.missouri.edu/fellowship/payne-international-development-fellowship-program,fellowships@missouri.edu,verified: page checked,2026-09-15,mizzou-ognf
1,University of Texas at San Antonio,Office of Nationally Competitive Awards (Honors College),Rangel and Pickering page presents both as open with a September 1 campus deadline. Both 2026 cycles are postponed.,https://honors.utsa.edu/onca/awards/rangel-pickering.html,honors@utsa.edu,verified: page checked,2026-09-15,utsa-onca
2,Duke University,Duke Gap Year Program,"Funds admitted students' gap years: $5,000-$15,000, up to $25,000 with need. Also a Fulbright top producer.",https://dukegapyear.duke.edu/,,verified: program page exists,2026-09-15,duke-dgyp
2,Elon University,Student Professional Development Center — Service Year,"Runs a Year of Service Fellows program and publishes a service-year program list. That list mixes fee-charging providers (GVI, Projects Abroad, Cross-Cultural Solutions, United Planet) with paying ones (Peace Corps, Teach For America, City Year) without distinguishing them.",https://www.elon.edu/u/spdc/service-year/finding-the-best-fit-program/service-year-programs/,336.278.2000 (main),verified: page checked,2026-09-15,elon-spdc
2,Princeton University,Office of International Programs — Novogratz Bridge Year,"Runs a tuition-free, nine-month bridge year for admitted students. Also a 2025-26 Fulbright top producer.",https://oip.princeton.edu/our-programs/novogratz-bridge-year,,verified: program page exists,2026-09-15,princeton-bridge
2,Tufts University,Tisch College — 1+4 Bridge Year,"Bridge year of full-time service for incoming students. CHECK FIRST: the public pages found are from 2014-2019, and whether it runs for 2026-27 was not confirmed.",https://tischcollege.tufts.edu/news/term/96,,unconfirmed: verify still running,,tufts-1plus4
2,University of North Carolina at Chapel Hill,Global Gap Year Fellowship,"Funds gap and bridge years ($8,000 stipends). Top producer of both Fulbright students and scholars. Their Mitchell page is already up to date.",https://globalgap.unc.edu/bridge-year/,,verified: program page exists,2026-09-15,unc-ggyf
3,St. Olaf College,Piper Center for Vocation and Career,"Publishes a gap year and service programs page (AmeriCorps, Lutheran and Jesuit Volunteer Corps, Teach For America, Peace Corps...). A maintained index saves them hand-curation.",https://wp.stolaf.edu/pipercenter/find-jobs-post-graduate-opportunities/gap-year-and-service-programs/,piper.center@stolaf.edu · 507-786-3268,verified: page checked,2026-09-15,stolaf-piper
3,Wake Forest University,Office of Personal & Career Development,Gap year page lists Projects Abroad (charges a fee) alongside AmeriCorps and Teach For America (pay) without distinguishing them. That is the priced-vs-paid angle.,https://opcd.wfu.edu/students/gap-year/,336.758.5902,verified: page checked,2026-09-15,wfu-opcd
3,Wake Forest University,Prehealth advising,Premed gap year page. Angle: NIH postbac and paid clinical roles.,https://prehealth.wfu.edu/additional-avenues-to-prepare-for-medicaldentalveterinary-school/taking-a-gap-year/,,found via search: page exists,,wfu-prehealth
4,Agnes Scott College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,agnes-scott-college
4,American University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Email the fellowships office, not the AU Gap Program, which is a paid program AU sells.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,american-university
4,Amherst College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,amherst-college
4,Appalachian State University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,appalachian-state-university
4,Arizona State University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,arizona-state-university
4,Bard College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,bard-college
4,Barnard College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,barnard-college
4,Bates College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,bates-college
4,Baylor University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. TRIED: Mitchell page returned 403; check by hand: https://engagedlearning.web.baylor.edu/fellowships-awards/now-youre-considering/mitchell-scholarship",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,baylor-university
4,Boise State University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,boise-state-university
4,Boston College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,boston-college
4,Boston University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,boston-university
4,Bowdoin College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,bowdoin-college
4,Brown University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,brown-university
4,Bryn Mawr College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,bryn-mawr-college
4,Carleton College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,carleton-college
4,Carnegie Mellon University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,carnegie-mellon-university
4,Colgate University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,colgate-university
4,College of Charleston,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,college-of-charleston
4,College of the Holy Cross,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,college-of-holy-cross
4,Colorado School of Mines,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,colorado-school-of-mines
4,Columbia University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,columbia-university
4,Cornell University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,cornell-university
4,Dartmouth College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. TRIED: Mitchell page returned 403; check by hand: https://students.dartmouth.edu/fellowships/fellowship-opportunities/post-graduate-opportunities/united-kingdom-ireland/mitchell-scholarship",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,dartmouth-college
4,Davidson College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,davidson-college
4,Duke University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,duke-university
